"Month","SO_nitrate","SO_ammonia","SO_phyt","SO_detritus","D_nitrate","D_ammonia","D_phyt","D_detritus","SI_nitrate","SI_ammonia","SI_phyt","SI_detritus","RIV_nitrate","RIV_ammonia","RIV_detritus","SO_ATM_nitrate_flux","SO_ATM_ammonia_flux","SI_ATM_nitrate_flux","SI_ATM_ammonia_flux","SI_other_nitrate_flux","SI_other_ammonia_flux","SO_other_nitrate_flux","SO_other_ammonia_flux","DO_nitrate","DO_ammonia","DO_detritus"
1,0.298394730235881,0.128493295852647,0.213217714247624,0.0705532313598108,11.7821376760723,2.32820684616998,0.0105890877909627,0.0122188932341653,0.298394730235881,0.128493295852647,0.213217714247624,0.0705532313598108,10,1,0,0.0177325583213279,0.00827077479522315,0.0152878387088669,0.0102982736699077,0,0,0,0,12.7273700763792,2.51498929653003,0.000551150821417067
2,0.440718755474038,0.189780179395831,0.286878641539129,0.121157946088804,11.7021629519253,2.31240345756607,0.0194812360474941,0.0190838698436307,0.440718755474038,0.189780179395831,0.286878641539129,0.121157946088804,10,1,0,0.0188077606059569,0.00981619625369036,0.018513898377816,0.0125759513495702,0,0,0,0,12.5830850563603,2.48647788538857,0.00049180358490964
3,0.519033829738359,0.223503837984615,0.333532753768575,0.165629247305249,11.5957619295464,2.29137810583852,0.0226845416826539,0.0284244365530515,0.519033829738359,0.223503837984615,0.333532753768575,0.165629247305249,10,1,0,0.0143271433146593,0.00453679937727681,0.0148208582267371,0.00652867806045347,0,0,0,0,12.3945278768904,2.44921808345738,0.000422308579494463
4,0.499167759101709,0.214949206709033,0.306265623741908,0.163038236277866,11.7115655676999,2.31426145948561,0.0165783508386636,0.0294109866224539,0.499167759101709,0.214949206709033,0.306265623741908,0.163038236277866,10,1,0,0.0177391078544869,0.00954433028320117,0.0181946656223209,0.0112089523879279,0,0,0,0,12.5374853908088,2.47746717303408,0.000424081366344034
5,0.459280310596553,0.197773066508673,0.261124112259544,0.125890913492644,11.606394208311,2.29347909505547,0.0114607177381005,0.0244437144224063,0.459280310596553,0.197773066508673,0.261124112259544,0.125890913492644,10,1,0,0.01707748565737,0.00713349251325504,0.0209497740655313,0.0111262662731077,0,0,0,0,12.5188760308211,2.47378987435387,0.000603931413077409
6,0.462352559042163,0.199096023278528,0.242859180618713,0.103358153150623,11.6222162163651,2.296605599641,0.00988375561640547,0.0217454670676082,0.462352559042163,0.199096023278528,0.242859180618713,0.103358153150623,10,1,0,0.0248464239051654,0.0169115001890099,0.0312977550285203,0.0243717661526586,0,0,0,0,12.2218484631207,2.41509580408972,0.000777740144482032
7,0.464475821799725,0.200010332420196,0.232398402668531,0.0910381393992772,11.5193783591888,2.27628434642654,0.00973650543061963,0.0207362131156147,0.464475821799725,0.200010332420196,0.232398402668531,0.0910381393992772,10,1,0,0.0200458330183809,0.0155349493816426,0.024278621373844,0.0237813554189172,0,0,0,0,12.067067159193,2.38451027696629,0.000836480193178979
8,0.411351198009782,0.177134063806788,0.215802591210397,0.0773196757259076,11.4997970145521,2.27241497892347,0.00969536135339737,0.0199506077221476,0.411351198009782,0.177134063806788,0.215802591210397,0.0773196757259076,10,1,0,0.0166267417328355,0.0109091700453843,0.0210416189948535,0.0185608707179534,0,0,0,0,12.3080523448912,2.43213010408031,0.000723983592014136
9,0.374013301193473,0.161055799226374,0.193999644166788,0.0630659812469663,11.7401343538359,2.31990678848253,0.00928607338302022,0.0198857438442828,0.374013301193473,0.161055799226374,0.193999644166788,0.0630659812469663,10,1,0,0.0204971306292074,0.0160280240344859,0.0246647942722553,0.0225803409037845,0,0,0,0,12.4512455213873,2.46042576171127,0.000616782654779763
10,0.342979667184313,0.147692245811843,0.172301827536495,0.0490092608664536,11.9104982208878,2.35357150472634,0.00899702383557235,0.018705966165937,0.342979667184313,0.147692245811843,0.172301827536495,0.0490092608664536,10,1,0,0.0175133419399094,0.00889705572371727,0.0200262588281442,0.0138118587893515,0,0,0,0,12.6105548855219,2.49190605522289,0.000574850593408663
11,0.351045979858344,0.151165722371047,0.161533783373029,0.0433608996656519,12.1820861644492,2.40723858339414,0.00820387474133541,0.0167294202037538,0.351045979858344,0.151165722371047,0.161533783373029,0.0433608996656519,10,1,0,0.0146334036253393,0.00576617786594267,0.0142024557239243,0.00796233669721654,0,0,0,0,12.5437009086662,2.47869538913763,0.00055887896661883
12,0.279574896551489,0.12038919007439,0.153027627099338,0.03963352860092,12.1738657521947,2.40561419055344,0.00799635463792663,0.0139265157185603,0.279574896551489,0.12038919007439,0.153027627099338,0.03963352860092,10,1,0,0.0115081187217466,0.00466307569381004,0.0100886183662108,0.00658655181861899,0,0,0,0,12.5847999128173,2.48681674923935,0.000583385603114575
